,date_posted,playtime,review,helpful_funny,recommended
10,Posted: September 9,41.9 hrs on record,Absurd microtransactions and crazy grinding do not make a game.,654 people found this review helpful76 people found this review funny,Not Recommended
11,Posted: September 9,10.5 hrs on record,"As a longtime gears player the game is 'ok'The visuals are stunning, the campaign is nice, horde is still horde, escape is something new and different from horde, the game runs well, there's a lot of controls to adjust for your keyboard including the ability to separate dodge roll/roadie run/taking cover.Versus is where I dip most of my playtime and it's in an ok state but there needs to be a balance pass. They spent 2 years making a competitive balance tuning just to toss it out of the window in gears 5. They made the game more casual friendly but all it really does is make the game more frustrating for pretty much everyone. I'm hoping they make changes to that by nerfing most weapons across the board and making a nerf to flashbangs as well.My review rating may change - I wanted to make this one positive but I can't just yet because I'm not sure if this current versus tuning is here to stay or will be adjusted in the near future. For now you may be safer buying this game on xbox game pass for $2 instead of paying the full price and regretting it later because you may only be in it for campaign/horde.To go into a breakdown mode:*Footstep audio needs to be adjusted, you can hear people far away but people can run up behind you and it's soundless*Flashbangs need to be nerfed*Basically every weapon needs to do less damage, gnashers need to do less range*Spawns need to be fixed in TDM, you can spawn trap the enemy team*KOTH spawns need to be fixed, if you're in the current hill the enemy team will spawn in the next hill across the map, so you need to rotate out of the hill at 20~ points left*Guardian spawns need to be fixed (I don't think guardian should be ranked mode)*Execution should be a ranked mode*Markza and boltok are far too easy to get headshots with*Certain core game characters are missing from versus like cole train and baird, they will come later but hopefully no price tag attached*Aim assist needs to be an option for controller users, some people complain it's too strong and others just don't like having their aim auto adjusted for them*The new omen for showing damage blocks your screen, I'm not sure why this needed any changing at all. I've tried it for the tech test and for release and still don't like it. I wish it would change back. (For those who don't know gears shows a cog symbol with a skull in it to show how close to dying you are, in gears 5 they changed it to fill the screen instead of just being a symbol).* There's no way to tell if you're talking in-game voice chat. There's no indication symbol. On top of this if you try to use your voice chat key in a lobby it will do whatever action is bound to that key instead. For example I use the F key, so F key rotates your character - so in the lobby it rotates my character instead of using voice chat. In-game I have no idea if I'm talking at any point. (Some people told me I am though) and if someone else talks you can't tell unless you look at the scoreboard.* When typing text in-game sometimes the text never appears, also the default key to text is U, sometimes when you press U the chat box pops up and the letter U is inside as if you double pressed it when you did not.That's the end of my versus feedback, as for campaign I'm enjoying it - insane difficulty is annoying again where if you come out of cover for 3 seconds you get blown up in one hit but I guess that's expected. Would've preferred challenging gameplay over the game forcing you into cover but it is a cover shooter.Anyway if some balance changes come in the future my review will be adjusted - I play versus mostly so my review is heavily based off of that.",310 people found this review helpful39 people found this review funny,Not Recommended
12,Posted: September 10,118.7 hrs on record,"currently this game is being review bombed by people from china, because the game doesn't meet the Chinese governments requirements. and therefore its being suspended/removed IN china.the game is great. this is coming from a diehard gears fanatic since #1. campaign isnt really my cup of tea, but it's still decent enough. MP is fantastic and feels exactly how you would expect from a gears title.that being said; My complaints?-No Ranked Execution (its the pivotal gamemode. Coalition seem to care though, so it might be added down the road.)-The microtransaction system is bizarre. its got a store like apex legends, and a battlepass like fortnitethis being said, it is still a step up from Gears 4. and there are NO lootboxes to be seen.My overall recommendation is that you should check it out, and if you're a fan of gears of war; I think you'll really like this one.",11 people found this review helpful,Recommended
13,Posted: September 10,14.6 hrs on record,Needs more chest high walls!,11 people found this review helpful7 people found this review funny,Recommended
14,Posted: September 9,12.6 hrs on record,"Not played alot yet but so far it runs well, looks great and is fun to play. Can't wait to do up some more! Thanks for bringing the game to steam MS!More thoughts will be added as I play more- Horde mode is vastly improved, had a blast on that tonight!- Looks gorgeous- Runs well- Controls are tight- Gameplay is fun- Tons of content- No crashes or fps slowdowns- Campaign is the best since Gears 2/3 and maybe the best yet- Fantastic atmosphere and world they have createdOne of the years best games so far no doubt and a wonderful PC version.So far this is one of the years best games (up there with Metro Exodus and Anno 1800 for me personally).**Don't pay attention to the silly Chinese review bombing that is going on right now for the game. Chinese Government are at fault yet these people want to blame steam and gears 5? GROW UP And take it up with that silly government! Check out WorthABuy, Jim Sterling or ACG reviews on youtube if you want to see about the actual game and not review bombing **",34 people found this review helpful2 people found this review funny,Recommended
15,Posted: September 10,4.7 hrs on record,"Seriously though... The ""cosmetic only"" microtransactions are actually just normal transactions. $10 for emotes. $25 for skins... It's like Fortnite's store but in a game I just paid $85 dollars for, to get the ""complete experience"" or so I thought. Their greed is terrible. If you can look past the fact that you're going to see awesome skins nonstop that you can't have without paying absurd amounts of money, then the game is pretty good from what I can tell so far. However, until they fix their ""microtransactions"" I'm not even going to recommend this.Oh and one more thing.... Give us our splitscreen back!",46 people found this review helpful1 person found this review funny,Not Recommended
16,Posted: September 9,18.0 hrs on record,"This is awesome, just mind blowing.Pros - 1)Amazing Story2)Action pack co-op gameplay3)Graphics is also awesome4) Multiplayer PVP and PVE modes are very good. Cons-It has many bugs specially when you play co-op campaign, you'll face many bugs.",16 people found this review helpful4 people found this review funny,Recommended
17,Posted: September 10,50.4 hrs on record,"I honestly have no idea how Gears 5 is mixed. So I'm going to address some things that people maybe worried about because this game is amazing.The Ingame store: Nothing in the store gives you an advantage over other players. It's a rotational set of items that are purely cosmetic so you have nothing to worry about in terms of that. You do need to use premium currency to buy these items but there's nothing forcing you to put money on.The Tour of Duty: Alright, this system is a mixed bag. It's essentially a free battle pass where you complete challenges to progress through the ranks. The rewards aren't amazing but they are something to keep working towards. You need to put a decent amount of time into the game to get these items which isn't ideal as most people can't give their lives to the game but this system is absolutely fine.Bugs/Crashes ETC: I personally only had problems with connectivity during the early access period but all of those issues are near-enough ironed out. I have never had a single crash or blatant bug happen to me so this is subjective. I see alot of people saying ""THE GAME IS UNPLAYABLE I'VE BEEN SCAMMED"". No you haven't, troubleshoot your issues and look at your settings. The game runs amazingly smooth on my system and I rarely drop in frames.Split-screen: I for one don't use split-screen at all and I don't see why everyone is upset with their removal/changes to it. This is for sure down to the player.These are the main things I've been seeing and I really upsets me that people are giving the game a negative review. If you played the early access then you probably had alot of issues like the rest of us but they've done an amazing job to keep us up to date and continue to support the players to make sure we have the best experience in Gears 5. As a long time fan since the first game I can happily say this game is worth full price, it's an absolute blast. So if anyone is on the fence and worried about the mixed reviews...don't be. Give the game a try I'm sure you'll love the game!",5 people found this review helpful1 person found this review funny,Recommended
18,Posted: September 10,21.3 hrs on record,"Don't mind ""mixed"" reviews - these are angry Chinese players having troubles with their wonderful government's firewall.Game has improved since Gears 4, a lot. Much better campaign: instead of 10-12 hours of tunnel running it's now 30+ hours, semi-open world zones with optional quests. Better graphics yet there is much better performance and no stuttering on my i7 1070 16Gb laptop. Horde mode is better balanced i.e. it's perfectly playable for clumsy people with controllers (I've seen one in action, performed ok-ish). There are more customization options - especially that hilarious ""turd"" enemy mark, a must have item. There is a progression with cosmetics rewards. PvP / vsAI is a lot of fun. No bugs and crashes so far - except for overloaded servers not tracking multiplayer progression once in a while.One major design defect - which has basically killed horde and escape modes for me: characters are hardcoded to classes + a party cannot have duplicates so there is a chance you won't be able to play your favorite character in random groups. The game arbitrary change your class and characters, sometimes even when there are no duplicates.Surely, there are a bit better third-person shooters available yet this one is really good as well, you shouldn't miss it, it's 100% ""must buy"" either as is - or with a little discount.",8 people found this review helpful,Recommended
19,Posted: September 10,21.1 hrs on record,"(If you don't want to read the whole thing go to the bottom for a summary.) I have played every single game in the Gears of War saga thus far. As the game stands right now, I can't recommend it. I mean I love  the game but it doesn't feel complete and needs some serious work if this title is going to live the next 3 months. Also, where is my curb stomping? Was that execution removed or something?   The multiplayer is fun to say the least. Versus feels like how it should be. I played a few games of team deathmatch and I am very satisfied about the damage of weapons, power weapon spawn times, the selection of weapons each round and where they are placed. Seems fine so far.   I've had my fair share of random disconnections and crashes in the past couple days.That problem should be eliminated quickly throughout the next few updates.   One big issue I have with the game right now is the customization. There aren't nearly enough characters in this game to play as. What happened to all of the characters we love? We can't play as Cole or Baird? There aren't any skins for Marcus even though he's changed his look over the past several games. In the past games you unlocked skins over each act of the campaign. What happened to that? Apex Legends had a ♥♥♥♥♥on of skins for every single weapon and character on release. In the ultimate edition purchase you get a boost that allows you to level up quickly and gain exp to gain supply drops...but why is there nothing to get but banners, stale emotes and the same 3 skins for every single gun? I haven't played on the Locu- sorry I mean ""Swarm"" side yet and I really don't want to. There definitely needs to be more characters to play as. Not to mention that there is already a micro-transaction shop available...go figure. What can you buy there, you ask? In-game currency, emotes, character skins and weapon skins! None are intriguing at all. I don't know about you, but I don't want to spend anymore money after buying the ultimate edition. Moving on...  Horde:  I think these gamemodes are awesome! I've always loved horde since the day Gears 2 was released. In this game though, so far, I'm underwhelmed. Not sure if it's the game's fault for the amount of people leaving, but, man there are a lot of people that leave after wave 3. I may be the only one that feels this way, but I disagree with the addition of AI Friendlies for whenever someone leaves. Feels like I have to protect a useless kid or two, or three from waves of aggressive animals. The enemies are not my favorite either. I would go on to complain about the ""Flock"" and ""Leeches"" but they're already there to stay. I don't like them. Feels like they added it because they need to fill in a spot and have a reason to turn our robots against us. Must've run out of ideas for enemies. That's just a complaint from the ""I want Gears 3 back"" side of me. I do like the addition of abilities in this game though. An interesting twist indeed and a good way to make people fight over who plays Emile and Fahz. Also, apparently you're able to play as Jack, the bot. I tried to and have seem others attempt it but always get switched into some other character. So either we're all getting punked or maybe it's another bug. Lemme know if you know.  Escape:  Yes. I love this gamemode. Good. ♥♥♥♥ing. Job. You can make your own maps...double good job. I've always loved making custom games for my friends and I on Halo Reach, now I get to do it on gears! Not even going to complain that I can't do it for other gamemodes. Good job here! The only issue is the amount of characters. Everyone wants to play Keegan and Emile. Also, everyone leaves after you fail and you start right back at the beginning through the cutscene again.  Campaign:  The first act felt great and smooth. After that it was kinda messy. If don't you want  SPOILERS, DON'T READ  this part. After JD pulls the stunt with hammer of dawn he pretty much becomes a side character after that. I really dislike the path they took with the characters. It felt like the realistic reactions they would have but Kait becoming the main character and pushing the son of our beloved Marcus to the bench? Just...why? It made no sense to me. Maybe if he were in the coma for the time you played as Kait and Del but not after. That just made no sense to me. It only gave me the ""Woman Power!"" vibes in the manliest game franchise to ever be released. Remember how in the old games you were given the choice to take a path while your buddy takes the other? Well that's not in this game even though there was a perfect opportunity for it in the first act with the rockets. Also, in the segments with the skiff and all of the places you needed to travel from place to place in a desert and in a tundra, it all felt tedious and boring. Except for the storms in the desert. Either way those parts didn't really feel like Gears to me.   [/h] The ending: [/h1] At the end of the game, you are given a choice. Kait's mother appears as the Queen with tentacles and ♥♥♥♥, looking like she was tortured into submission then spliced into an octopus monster. Reminded me of Dom's wife with her face. The choice was to either take your knife and throw it at the tentacle holding Del by the throat or the tentacle holding JD by the throat. This had to have been the dumbest and most poorly written choice I have ever come across in a game ever. Of course I will choose the son of the main man Marcus. What decision is to even be made? Sure he's a hotheaded dumbass that's made some poor decisions, but they've all worked out, sorta. A much better choice than Del anyway. He's just an idiot made for comic relief. If he didn't keep reminding me he was near me with his constant complaining I would've forgotten he was even in the game. The choice was the crybaby, Del or the daddy's boy, JD. I've put some thought into it...there was a perfectly good opening for Kait to just throw the knife into her mothers face, but that just...wasn't an option for some reason. Even though before that choice was given, Kait screamed ""YOU'RE NOT MY MOTHER!"" so there was no reason for her not to kill then and there. Oh wait...gotta make another Gears game though right?  Anyway if you didn't read all of that then this should sum it up for you.  People keep leaving in Horde and Escape games. There aren't enough enemies, let alone characters to be interested in. The campaign was ungearslike and dumb to make JD the side character and even giving the option to kill him off over Del, the character that no one could care less about. They added micro-transactions which speaks for itself. We could've killed Kait's mother (again) but couldn't because money. Some crash and disconnection errors in multiplayer. Little to no customizations out there for the characters. Jack is apparently unplayable in horde. Where is my curb stomping?! The emotes and voice lines you can get are stale from most characters. That about does it. The game just feels like it's in beta, yet they have you pay $60-$80 for it. Also, DON'T GET THE ULTIMATE EDITION, its not worth it whatsoever. trust me just don't.",21 people found this review helpful,Not Recommended
20,Posted: September 9,10.5 hrs on record,"As a longtime gears player the game is 'ok'The visuals are stunning, the campaign is nice, horde is still horde, escape is something new and different from horde, the game runs well, there's a lot of controls to adjust for your keyboard including the ability to separate dodge roll/roadie run/taking cover.Versus is where I dip most of my playtime and it's in an ok state but there needs to be a balance pass. They spent 2 years making a competitive balance tuning just to toss it out of the window in gears 5. They made the game more casual friendly but all it really does is make the game more frustrating for pretty much everyone. I'm hoping they make changes to that by nerfing most weapons across the board and making a nerf to flashbangs as well.My review rating may change - I wanted to make this one positive but I can't just yet because I'm not sure if this current versus tuning is here to stay or will be adjusted in the near future. For now you may be safer buying this game on xbox game pass for $2 instead of paying the full price and regretting it later because you may only be in it for campaign/horde.To go into a breakdown mode:*Footstep audio needs to be adjusted, you can hear people far away but people can run up behind you and it's soundless*Flashbangs need to be nerfed*Basically every weapon needs to do less damage, gnashers need to do less range*Spawns need to be fixed in TDM, you can spawn trap the enemy team*KOTH spawns need to be fixed, if you're in the current hill the enemy team will spawn in the next hill across the map, so you need to rotate out of the hill at 20~ points left*Guardian spawns need to be fixed (I don't think guardian should be ranked mode)*Execution should be a ranked mode*Markza and boltok are far too easy to get headshots with*Certain core game characters are missing from versus like cole train and baird, they will come later but hopefully no price tag attached*Aim assist needs to be an option for controller users, some people complain it's too strong and others just don't like having their aim auto adjusted for them*The new omen for showing damage blocks your screen, I'm not sure why this needed any changing at all. I've tried it for the tech test and for release and still don't like it. I wish it would change back. (For those who don't know gears shows a cog symbol with a skull in it to show how close to dying you are, in gears 5 they changed it to fill the screen instead of just being a symbol).* There's no way to tell if you're talking in-game voice chat. There's no indication symbol. On top of this if you try to use your voice chat key in a lobby it will do whatever action is bound to that key instead. For example I use the F key, so F key rotates your character - so in the lobby it rotates my character instead of using voice chat. In-game I have no idea if I'm talking at any point. (Some people told me I am though) and if someone else talks you can't tell unless you look at the scoreboard.* When typing text in-game sometimes the text never appears, also the default key to text is U, sometimes when you press U the chat box pops up and the letter U is inside as if you double pressed it when you did not.That's the end of my versus feedback, as for campaign I'm enjoying it - insane difficulty is annoying again where if you come out of cover for 3 seconds you get blown up in one hit but I guess that's expected. Would've preferred challenging gameplay over the game forcing you into cover but it is a cover shooter.Anyway if some balance changes come in the future my review will be adjusted - I play versus mostly so my review is heavily based off of that.",310 people found this review helpful39 people found this review funny,Not Recommended
21,Posted: September 10,118.7 hrs on record,"currently this game is being review bombed by people from china, because the game doesn't meet the Chinese governments requirements. and therefore its being suspended/removed IN china.the game is great. this is coming from a diehard gears fanatic since #1. campaign isnt really my cup of tea, but it's still decent enough. MP is fantastic and feels exactly how you would expect from a gears title.that being said; My complaints?-No Ranked Execution (its the pivotal gamemode. Coalition seem to care though, so it might be added down the road.)-The microtransaction system is bizarre. its got a store like apex legends, and a battlepass like fortnitethis being said, it is still a step up from Gears 4. and there are NO lootboxes to be seen.My overall recommendation is that you should check it out, and if you're a fan of gears of war; I think you'll really like this one.",11 people found this review helpful,Recommended
22,Posted: September 10,14.6 hrs on record,Needs more chest high walls!,11 people found this review helpful7 people found this review funny,Recommended
23,Posted: September 9,12.6 hrs on record,"Not played alot yet but so far it runs well, looks great and is fun to play. Can't wait to do up some more! Thanks for bringing the game to steam MS!More thoughts will be added as I play more- Horde mode is vastly improved, had a blast on that tonight!- Looks gorgeous- Runs well- Controls are tight- Gameplay is fun- Tons of content- No crashes or fps slowdowns- Campaign is the best since Gears 2/3 and maybe the best yet- Fantastic atmosphere and world they have createdOne of the years best games so far no doubt and a wonderful PC version.So far this is one of the years best games (up there with Metro Exodus and Anno 1800 for me personally).**Don't pay attention to the silly Chinese review bombing that is going on right now for the game. Chinese Government are at fault yet these people want to blame steam and gears 5? GROW UP And take it up with that silly government! Check out WorthABuy, Jim Sterling or ACG reviews on youtube if you want to see about the actual game and not review bombing **",34 people found this review helpful2 people found this review funny,Recommended
24,Posted: September 10,4.7 hrs on record,"Seriously though... The ""cosmetic only"" microtransactions are actually just normal transactions. $10 for emotes. $25 for skins... It's like Fortnite's store but in a game I just paid $85 dollars for, to get the ""complete experience"" or so I thought. Their greed is terrible. If you can look past the fact that you're going to see awesome skins nonstop that you can't have without paying absurd amounts of money, then the game is pretty good from what I can tell so far. However, until they fix their ""microtransactions"" I'm not even going to recommend this.Oh and one more thing.... Give us our splitscreen back!",46 people found this review helpful1 person found this review funny,Not Recommended
